('CZ75-Auto | Tuxedo', False, False)
('CZ75-Auto | Slalom', False, False)
('CZ75-Auto | Chalice', False, True)
('CZ75-Auto | Xiangliu', True, False)
('CZ75-Auto | Yellow Jacket', True, False)
('CZ75-Auto | Victoria', True, False)
('CZ75-Auto | Tigris', True, False)
('CZ75-Auto | Circaetus', True, False)
('CZ75-Auto | Emerald', False, False)
('CZ75-Auto | Tacticat', True, False)
('CZ75-Auto | Eco', True, False)
('CZ75-Auto | Pole Position', True, False)
('CZ75-Auto | The Fuschia Is Now', True, False)
('CZ75-Auto | Red Astor', True, False)
('CZ75-Auto | Army Sheen', False, False)
('CZ75-Auto | Imprint', True, False)
('CZ75-Auto | Tread Plate', True, False)
('CZ75-Auto | Midnight Palm', False, True)
('CZ75-Auto | Syndicate', False, False)
('CZ75-Auto | Polymer', True, False)
('CZ75-Auto | Crimson Web', True, False)
('CZ75-Auto | Poison Dart', True, False)
('CZ75-Auto | Distressed', True, False)
('CZ75-Auto | Nitro', False, True)
('CZ75-Auto | Jungle Dashed', False, False)
('CZ75-Auto | Hexane', True, False)
('CZ75-Auto | Silver', False, True)
('CZ75-Auto | Vendetta', True, False)
('CZ75-Auto | Twist', True, False)
('CZ75-Auto | Indigo', False, False)
('CZ75-Auto | Framework', False, True)
('CZ75-Auto | Green Plaid', False, False)
('CZ75-Auto | Emerald Quartz', False, False)
('Desert Eagle | Printstream', True, False)
('Desert Eagle | Mecha Industries', True, False)
('Desert Eagle | Tilted', False, False)
('Desert Eagle | Starcade', False, False)
('Desert Eagle | Code Red', True, False)
('Desert Eagle | Trigger Discipline', True, False)
('Desert Eagle | Light Rail', True, False)
('Desert Eagle | Crimson Web', True, False)
('Desert Eagle | Heat Treated', False, False)
('Desert Eagle | Conspiracy', True, False)
('Desert Eagle | Kumicho Dragon', True, False)
('Desert Eagle | Meteorite', False, False)
('Desert Eagle | Ocean Drive', True, False)
('Desert Eagle | Calligraffiti', True, False)
('Desert Eagle | Urban Rubble', False, True)
('Desert Eagle | Naga', True, False)
('Desert Eagle | Blue Ply', True, False)
('Desert Eagle | Corinthian', True, False)
('Desert Eagle | Fennec Fox', False, True)
('Desert Eagle | Midnight Storm', False, False)
('Desert Eagle | Directive', True, False)
('Desert Eagle | Oxide Blaze', True, False)
('Desert Eagle | Blaze', False, False)
('Desert Eagle | Night', False, False)
('Desert Eagle | Bronze Deco', True, False)
('Desert Eagle | Sputnik', False, False)
('Desert Eagle | Cobalt Disruption', True, False)
('Desert Eagle | Night Heist', False, False)
('Desert Eagle | The Bronze', False, False)
('Desert Eagle | Golden Koi', True, False)
('Desert Eagle | Hypnotic', True, False)
('Desert Eagle | Heirloom', True, False)
('Desert Eagle | Urban DDPAT', False, True)
('Desert Eagle | Mudder', False, True)
('Desert Eagle | Pilot', False, False)
('Desert Eagle | Hand Cannon', False, True)
('Desert Eagle | Sunset Storm 弐', False, False)
('Desert Eagle | Sunset Storm 壱', False, False)
('Desert Eagle | Emerald Jörmungandr', False, False)
('Dual Berettas | Sweet Little Angels', False, False)
('Dual Berettas | Hydro Strike', True, False)
('Dual Berettas | Melondrama', True, False)
('Dual Berettas | Flora Carnivora', True, False)
('Dual Berettas | Duelist', False, False)
('Dual Berettas | Cobra Strike', True, False)
('Dual Berettas | Hemoglobin', True, False)
('Dual Berettas | Hideout', True, False)
('Dual Berettas | Heist', False, False)
('Dual Berettas | Twin Turbo', False, True)
('Dual Berettas | Cobalt Quartz', False, True)
('Dual Berettas | Pyre', False, False)
('Dual Berettas | Royal Consorts', True, False)
('Dual Berettas | Urban Shock', True, False)
('Dual Berettas | Panther', True, False)
('Dual Berettas | Dezastre', True, False)
('Dual Berettas | Dualing Dragons', True, False)
('Dual Berettas | Marina', True, False)
('Dual Berettas | Shred', True, False)
('Dual Berettas | Black Limba', True, False)
('Dual Berettas | Stained', False, True)
